dTime,temperature,light_intensity,wind_speed,humidity
20210505-06:00,26.36,2346885.56,2.558007037,30.26
20210505-07:00,25.61,1920045.39,2.526044338,36.38
20210505-08:00,25.33,1578109.43,2.590945773,41.14
20210505-09:00,25.38,1012684.79,1.950589654,40.61
20210505-10:00,20.8,504617.16,1.855855598,57.57
20210505-11:00,20.13,98479.82,2.410186715,61.4
20210505-12:00,20.38,0,2.592624153,60.31
20210505-13:00,20.83,0,3.029884486,56.83
20210505-14:00,19.06,0,3.353595086,58.31
20210505-15:00,17.96,0,3.411421991,60.99
20210505-16:00,17.86,0,3.28975683,59.39
20210505-17:00,16.96,0,3.396483476,62.96
20210505-18:00,16.68,0,3.502741783,63.91
20210505-19:00,16.24,0,3.445025399,67.12
20210505-20:00,16.39,0,3.374285109,68.75
20210505-21:00,15.96,0,3.360372003,72.33
20210505-22:00,19.51,47740.94,3.643967618,63.57
20210505-23:00,19.59,332998.68,4.188758766,63.1
20210506-00:00,19.52,636028.36,3.889588667,63.89
20210506-01:00,20.09,1147863.85,3.819973822,61.45
20210506-02:00,23.66,1213159.96,3.917167344,54.17
20210506-03:00,24.21,1860911.05,4.247034259,51.05
20210506-04:00,24.82,2137725.81,5.125699952,47.07
20210506-05:00,25.97,2330669.33,6.096498995,43.11
20210506-06:00,25.67,1996826.64,6.37937301,43.3
20210506-07:00,25.93,1741078.79,6.09075529,43.03
20210506-08:00,24.62,1093554.24,5.55511476,50.83
20210506-09:00,24.58,721541.92,5.723154724,51
20210506-10:00,21.76,267980.25,5.529059595,64.05
20210506-11:00,22.14,60425.81,5.634687214,62.03
20210506-12:00,22.21,0,5.805273465,61.26
20210506-13:00,21.99,0,5.876061606,61.25
20210506-14:00,20.55,0,5.502762942,67.46
20210506-15:00,19.86,0,5.305186142,71.32
20210506-16:00,19.72,0,5.323795638,73.08
20210506-17:00,18.93,0,5.372494765,77.52
20210506-18:00,18.99,0,5.258184097,77.44
20210506-19:00,18.88,0,4.93,78.99
20210506-20:00,17.83,0,4.465870576,86.92
20210506-21:00,18,0,4.102742985,88.54
20210506-22:00,20.04,56121.82,3.504625515,77.37
20210506-23:00,20.37,406953.95,3.524769496,76.48
20210507-00:00,20.78,1065625.43,3.726459446,67.64
20210507-01:00,21.03,1713051.05,4.478448392,48.42
20210507-02:00,23.8,2243684.16,3.915635325,29.94
20210507-03:00,23.45,2373441.03,2.772219328,30.13
20210507-04:00,23.42,2551658.57,2.210701246,30.63
20210507-05:00,24.89,2774996.63,2.559726548,28.61
20210507-06:00,24.56,2213226.4,1.648423489,28.64
20210507-07:00,23.19,2117380.68,2.772002886,40.58
20210507-08:00,23.37,1500469.44,2.628402557,35.19
20210507-09:00,23.37,946341.96,1.965146305,38.24
20210507-10:00,19.76,530406.66,1.507348666,58.34
20210507-11:00,17.57,115150.73,2.876125867,66.76
20210507-12:00,17.61,0,2.596497641,69.33
20210507-13:00,17.91,0,2.596247292,69.52
20210507-14:00,15.5,0,2.947303853,80.14
20210507-15:00,14.32,0,3.020264889,84.59
20210507-16:00,13.97,0,3.013901126,85.85
20210507-17:00,12.96,0,2.857271426,89.07
20210507-18:00,13.21,0,2.755449147,86.82
20210507-19:00,14.07,0,2.294907406,81.32
20210507-20:00,13.66,0,2.450816191,81.42
20210507-21:00,13.63,0,2.491284809,79.21
20210507-22:00,18.93,67482.63,2.737535388,67.09
20210507-23:00,19.35,487324.21,3.615190175,66.1
20210508-00:00,19.82,1114645.7,3.522300385,64.59
20210508-01:00,20.18,1757286.06,4.151204644,64.15
20210508-02:00,26.35,2301846.65,4.612125324,48.13
20210508-03:00,26.47,2697618.03,5.007524338,46.78
20210508-04:00,26.62,2911605.1,5.243138373,46.93
20210508-05:00,29.82,2921282.91,5.388617633,40.2
20210508-06:00,29.85,2728462.51,5.372075949,41.53
20210508-07:00,29.87,2348820.8,5.258564443,44.04
20210508-08:00,29.44,1825483.47,4.951009998,48.62
20210508-09:00,29.51,1208933.57,3.84584191,49.73
20210508-10:00,24.65,587346.69,2.343608329,63.42
20210508-11:00,24.58,114379.23,2.280898946,68.88
20210508-12:00,24.01,0,2.669475604,74.67
20210508-13:00,23.37,0,2.871671987,78.49
20210508-14:00,20.9,0,2.30633909,83.35
20210508-15:00,20.49,0,1.74691156,87.95
20210508-16:00,20.22,0,1.790670266,89.48
20210508-17:00,18.92,0,1.730462366,92.26
20210508-18:00,19.17,0,1.056882207,92.94
20210508-19:00,19.89,0,2.433105012,91.8
20210508-20:00,18.98,0,2.732325017,94.78
20210508-21:00,18.68,0,2.656990779,92.48
20210508-22:00,21.21,64065.95,3.082336776,76.31
20210508-23:00,21.56,463799.01,2.967086113,74.98
20210509-00:00,22.23,1052353.68,2.662705391,74.4
20210509-01:00,22.97,1646619.31,2.630076045,73.82
20210509-02:00,28.11,2166864.28,2.468136949,62.14
20210509-03:00,28.33,2551669.59,2.472589735,60.18
20210509-04:00,28.49,2765671.06,2.927200027,56.83
20210509-05:00,30.91,2791215.01,3.446461954,52.13
20210509-06:00,31.06,2623306.16,3.713812058,49.36
20210509-07:00,31.07,2279938.8,3.749733324,47.36
20210509-08:00,30.91,1775701.37,3.488624371,48.41
20210509-09:00,30.65,1182571.02,2.653450584,49.88
20210509-10:00,26.57,579052.8,1.722353042,66.03
20210509-11:00,25.94,115288.33,2.376215478,70.33
20210509-12:00,25.71,0,2.285694643,71.65
20210509-13:00,25.9,0,2.595380512,70.91
20210509-14:00,24.66,0,2.979546945,74.41
20210509-15:00,23.54,0,3.089336498,76.9
20210509-16:00,23.09,0,3.200562451,77.69
20210509-17:00,22.13,0,3.32001506,79.99
20210509-18:00,22.11,0,3.253013987,79.1
20210509-19:00,21.83,0,3.305041603,80.9
20210509-20:00,20.53,0,3.075467444,85.1
20210509-21:00,20.48,0,2.510975906,86.22
20210509-22:00,24.46,69082.17,1.89066126,76.9
20210509-23:00,24.75,482894.05,1.383112432,74.56
20210510-00:00,24.67,1079874.49,0.646606526,73.73
20210510-01:00,25.61,1683658.82,0.873670418,71.76
20210510-02:00,29.28,2198516.31,0.888650663,59.74
20210510-03:00,30.01,2575024.28,0.25,57.5
20210510-04:00,30.42,2743979.6,0.17,55.54
20210510-05:00,30.93,2558531.15,0.667083203,51.59
20210510-06:00,31.24,2247825.65,0.907854614,50.21
20210510-07:00,31.32,1935249.79,1.494021419,49.01
20210510-08:00,30.53,1503538.05,1.958979326,52.21
20210510-09:00,29.71,978818.68,1.465366848,55.05
20210510-10:00,25.08,458803.55,1.282263623,72.13
20210510-11:00,24.08,102756.12,2.589903473,75.33
20210510-12:00,24,0,4.341900506,77.85
20210510-13:00,24.19,0,6.3214318,74.92
20210510-14:00,20.12,0,6.100819617,78.5
20210510-15:00,18.18,0,5.628223521,82.45
20210510-16:00,17.83,0,5.383651177,84.33
20210510-17:00,16.9,0,4.96632661,88.07
20210510-18:00,16.79,0,4.864123765,88.52
20210510-19:00,16.61,0,4.914804167,88.55
20210510-20:00,15.98,0,4.687216658,88.41
20210510-21:00,15.96,0,4.73016913,87.76
20210510-22:00,15.95,35196.66,4.166593333,89.25
20210510-23:00,16.11,198257.54,4.63146845,89.15
20210511-00:00,16.19,286279.2,4.881936091,90.47
20210511-01:00,16.48,585679.53,5.511125112,90.1
20210511-02:00,17.96,637425.63,4.893955455,83.13
20210511-03:00,18.3,986584.01,4.214736053,81.02
20210511-04:00,18.8,1118079.31,4.005246559,78.39
20210511-05:00,19.64,1055427.34,3.763509001,75.39
20210511-06:00,20.01,1093200.29,3.460939179,75.48
20210511-07:00,20.65,1422250.96,3.373796082,73.95
20210511-08:00,21.03,579374.57,3.056550343,73.34
20210511-09:00,20.92,373355.79,2.99736551,73.48
20210511-10:00,19.88,264297.05,1.549322433,78.98
20210511-11:00,19.82,71058.59,1.626345597,75.82
20210511-12:00,18.92,0,1.996496932,76.63
20210511-13:00,18.23,0,1.993614807,78.53
20210511-14:00,17.12,0,2.133354167,83.06
20210511-15:00,16.4,0,2.197384809,87.4
20210511-16:00,16.24,0,1.938298223,88.22
20210511-17:00,15.21,0,1.687720356,93.17
20210511-18:00,15.1,0,1.717236151,92.86
20210511-19:00,15.06,0,1.812401721,92.78
20210511-20:00,14.76,0,1.74416169,93.29
20210511-21:00,14.73,0,1.555892027,92.96
20210511-22:00,16.8,60379.92,2.005716829,85.52
20210511-23:00,17.09,402040.51,1.796941847,83.89
20210512-00:00,17.38,897071.05,1.941648784,85.31
20210512-01:00,17.76,1366272.36,2.100214275,87.59
20210512-02:00,20.72,1675718.94,2.266296538,76.57
20210512-03:00,21.15,2115698.21,2.080865205,75.24
20210512-04:00,21.73,2469660.08,1.921275618,73.95
20210512-05:00,23.32,2316841.34,1.920104164,69
20210512-06:00,23.29,2063053.06,2.21,68.89
20210512-07:00,23.59,1783851.85,2.640927867,68.18
20210512-08:00,23.49,1322894.12,2.947626164,70.22
20210512-09:00,22.91,742262.48,2.918938163,72.53
20210512-10:00,21.05,312004.94,2.707397274,80.65
20210512-11:00,21.26,79877.36,2.186595527,80.64
20210512-12:00,21.17,0,2.39520354,82.01
20210512-13:00,21.39,0,2.802641611,82.78
20210512-14:00,21.13,0,2.736293113,86.18
20210512-15:00,21.21,0,2.482438317,88.7
20210512-16:00,20.93,0,2.283965849,91.23
20210512-17:00,20.56,0,1.965960325,93.56
20210512-18:00,20.58,0,1.668202626,93.7
20210512-19:00,21.27,0,1.780365131,91.58
20210512-20:00,21.56,0,2.04318379,91.64
20210512-21:00,21.49,0,1.780252791,91.33
20210512-22:00,21.81,9892.28,2.213255521,89.06
20210512-23:00,21,65266.34,2.591138746,91.93
20210513-00:00,20.12,140053.01,2.841777613,95
20210513-01:00,18.96,211191.05,2.942006118,99.21
20210513-02:00,20.15,266197.63,3.499842854,94.05
20210513-03:00,19.9,466501.36,3.855502561,93.64
20210513-04:00,20.35,618467.72,3.582764296,90.7
20210513-05:00,21.76,722267.69,3.531529414,85.8
20210513-06:00,21.77,630096.05,3.676003264,85.84
20210513-07:00,21.73,465817.34,3.758257575,85.67
20210513-08:00,21.4,312368.95,3.478692283,88.01
20210513-09:00,21.83,237525.8,3.366437286,86.03
20210513-10:00,21.22,113034.24,2.880017361,88.35
20210513-11:00,21.72,31350.9,3.012125495,86.75
20210513-12:00,22,0,3.27001529,85.89
20210513-13:00,22.08,0,3.802959374,86.17
20210513-14:00,21.56,0,3.906328199,89.84
20210513-15:00,21.13,0,3.871188448,93.48
20210513-16:00,21.02,0,3.519786925,94.69
20210513-17:00,20.53,0,3.240246904,97.12
20210513-18:00,20.39,0,3.113278015,97.68
20210513-19:00,20.42,0,2.930017065,97.65
20210513-20:00,20.23,0,3.258297101,98.82
20210513-21:00,20.25,0,3.414923132,98.8
20210513-22:00,20.74,19779.57,3.355294324,97.17
20210513-23:00,20.59,69941,3.607020931,97.63
20210514-00:00,20.76,200194.45,2.797892064,98.42
20210514-01:00,21.42,570363.17,2.875030435,97.7
20210514-02:00,23.69,603890.47,3.123859792,88.81
20210514-03:00,24.61,883797.78,2.698758974,86.45
20210514-04:00,25.1,1035925.04,2.805298558,82.43
20210514-05:00,26.64,973374.96,2.140864311,75.42
20210514-06:00,25.54,589977.78,1.527383383,82.57
20210514-07:00,25.25,1016025.33,0.570087713,85.15
20210514-08:00,25.26,771070.8,0.380131556,85.71
20210514-09:00,24.9,492645.99,0.688839604,88.71
20210514-10:00,24.24,275288.75,1.54029218,90.76
20210514-11:00,23.7,62093.92,1.988290723,94.85
20210514-12:00,23.47,0,1.666043217,95.6
20210514-13:00,23.35,0,2.592180549,95.7
20210514-14:00,22.8,0,2.293141949,97.44
20210514-15:00,22.33,0,1.60580198,98.32
20210514-16:00,22.41,0,1.433875866,97.72
20210514-17:00,21.81,0,1.559134375,98.89
20210514-18:00,22.24,0,1.566971602,98.28
20210514-19:00,22.12,0,1.503329638,98.43
20210514-20:00,22.07,0,1.799027515,98.7
20210514-21:00,22.1,0,2.494513981,98.62
20210514-22:00,23.1,26570.95,2.081249625,96.77
20210514-23:00,23.51,125784.38,2.244749429,95.75
